"am_data","am_precipitacao","am_temp_maxima","am_umidade","am_ocorreu_queimada","am_risco_fogo_inpe"
2000-11-10,15,30.9,80.25,false,NULL
2000-11-11,3.7,34.7,68.75,false,NULL
2000-11-12,0,36.3,67.75,false,NULL
2000-11-13,0,34.9,68,true,NULL
2000-11-14,0,34.6,74,true,NULL
2000-11-15,0,35.9,67,false,NULL
2000-11-16,0,34.1,72,false,NULL
2000-11-17,0.2,36,62.5,false,NULL
2000-11-18,1.6,34.9,76.25,false,NULL
2000-11-19,0,35.8,65,false,NULL
2000-11-20,0.1,34.8,69.5,false,NULL
2000-11-21,0.2,33.1,73.75,false,NULL
2000-11-22,0,34.9,75.25,false,NULL
2000-11-23,3.7,35.7,69.5,false,NULL
2000-11-24,0,34.7,76.75,false,NULL
2000-11-25,0,35.2,74,false,NULL
2000-11-26,0,34.7,70.75,false,NULL
2000-11-27,10,33.1,77.25,false,NULL
2000-11-28,0.1,33.7,69.75,false,NULL
2000-11-29,8.6,35.1,69.25,false,NULL
2000-11-30,0.3,35.3,68.5,false,NULL
2000-12-01,0,35.7,62.25,true,NULL
2000-12-02,0,35.9,64.25,false,NULL
2000-12-03,0,35.6,61.5,false,NULL
2000-12-04,0,35.3,67.25,false,NULL
2000-12-05,0,34.7,67,false,NULL
2000-12-06,2.4,36.1,64,false,NULL
2000-12-07,0,32.2,79.25,false,NULL
2000-12-08,0,27.4,90.75,false,NULL
2000-12-09,10,34.1,76,false,NULL
2000-12-10,4.1,33.5,61.5,false,NULL
2000-12-11,0,29.9,81.5,false,NULL
2000-12-12,0,32.7,80.5,false,NULL
2000-12-13,0.1,27,93.75,false,NULL
2000-12-14,30.5,29.3,89.75,false,NULL
2000-12-15,24.2,28.3,92,false,NULL
2000-12-16,84.6,27.2,94,false,NULL
2000-12-17,43.8,32.2,83.25,false,NULL
2000-12-18,14.4,34.9,78.75,false,NULL
2000-12-19,0.2,34,80,false,NULL
2000-12-20,4.8,32.9,78.75,false,NULL
2000-12-21,2.1,35.1,68.25,false,NULL
2000-12-22,0,34.2,74,false,NULL
2000-12-23,0,33.1,77.5,false,NULL
2000-12-24,0,34.6,68.5,false,NULL
2000-12-25,0,35,78.25,false,NULL
2000-12-26,0.1,35,65.5,false,NULL
2000-12-27,0.5,36.2,61,false,NULL
2000-12-28,0,36.2,61,false,NULL
2000-12-29,0,36.4,63.25,false,NULL
2000-12-30,0,35.4,73.5,false,NULL
2000-12-31,0,28.3,90.5,false,NULL
2001-01-01,11,30.8,85.75,false,NULL
2001-01-02,10.6,31.6,78.25,false,NULL
2001-01-03,4.7,34.3,72,false,NULL
2001-01-04,0,33.6,80,false,NULL
2001-01-05,0,31,89,false,NULL
2001-01-06,6.2,34.9,66.5,false,NULL
2001-01-07,4.6,33.9,74.5,false,NULL
2001-01-08,0,32,78.5,false,NULL
2001-01-09,6,29.8,85,false,NULL
2001-01-10,0,32.6,79.25,false,NULL
2001-01-11,0.4,29.8,85.25,false,NULL
2001-01-12,0,30.8,79.5,false,NULL
2001-01-13,23.2,33.2,73.25,false,NULL
2001-01-14,0,34.5,66.5,false,NULL
2001-01-15,0,33.2,74.5,false,NULL
2001-01-16,0,32.2,80.5,false,NULL
2001-01-17,1.2,31.5,81.25,false,NULL
2001-01-18,0,33.2,81.5,false,NULL
2001-01-19,3.2,33.4,78.75,false,NULL
2001-01-20,0.5,31.4,84.75,false,NULL
2001-01-21,1,33.6,78.75,false,NULL
2001-01-22,2.4,31.6,86,false,NULL
2001-01-23,0.8,31.9,84.5,false,NULL
2001-01-24,14.7,31.1,89,false,NULL
2001-01-25,1,33.5,74.5,false,NULL
2001-01-26,28,32.9,78.25,false,NULL
2001-01-27,0,32.5,84.25,false,NULL
2001-01-28,0,31.5,79.5,false,NULL
2001-01-29,15.6,32.7,81.75,false,NULL
2001-01-30,8.8,28.6,89.25,false,NULL
2001-01-31,48,32.3,83.5,false,NULL
2001-02-01,8.5,31.6,81,false,NULL
2001-02-02,47.5,32.4,86.5,false,NULL
2001-02-03,10.4,32.3,79.75,false,NULL
2001-02-04,13.3,34.3,78.25,false,NULL
2001-02-05,4,33.7,75.25,false,NULL
2001-02-06,3.7,34.1,69,false,NULL
2001-02-07,0,34,78.75,false,NULL
2001-02-08,0,34.2,72.25,false,NULL
2001-02-09,3.7,32.4,82.5,false,NULL
2001-02-10,0,31.7,77.25,false,NULL
2001-02-11,0.7,33.7,80.5,false,NULL
2001-02-12,0,33.4,75.25,false,NULL
2001-02-13,20.4,32.9,73.75,false,NULL
2001-02-14,0.5,33.8,72.5,false,NULL
2001-02-15,0,30.2,85.75,false,NULL
2001-02-16,26.3,28.9,87.75,false,NULL
2001-02-17,27.1,33.7,81,false,NULL
2001-02-18,0,32.1,76.5,false,NULL
2001-02-19,14,31.4,83.25,false,NULL
2001-02-20,2.6,31,83.5,false,NULL
2001-02-21,3.8,34.2,71.75,false,NULL
2001-02-22,1,30.1,82.25,false,NULL
2001-02-23,1.3,32.9,74.75,false,NULL
2001-02-24,0.1,34.3,78.75,false,NULL
2001-02-25,0,30.6,86.75,false,NULL
2001-02-26,9.1,32,89.5,false,NULL
2001-02-27,9.6,32.1,83,false,NULL
2001-02-28,26.8,29.2,86.5,false,NULL
2001-03-01,45.9,32,84,false,NULL
2001-03-02,1,31.6,88.5,false,NULL
2001-03-03,5.5,33.7,81.25,false,NULL
2001-03-04,14.6,34.2,73.5,false,NULL
2001-03-05,0,32.2,82.5,false,NULL
2001-03-06,0,34.6,75.5,false,NULL
2001-03-07,10.4,33.6,79.75,false,NULL
