"am_data","am_precipitacao","am_temp_maxima","am_umidade","am_ocorreu_queimada","am_risco_fogo_inpe"
2013-06-01,0,34.1,82,false,NULL
2013-06-02,0.1,34.8,81.5,true,NULL
2013-06-03,0,32.8,84.25,false,NULL
2013-06-04,0,34.1,87.75,false,NULL
2013-06-05,0,30,96.25,false,NULL
2013-06-06,5.3,32.8,87.5,false,NULL
2013-06-07,8.3,33.2,82,false,NULL
2013-06-08,0,34.8,79.75,false,NULL
2013-06-09,0,33.4,76.5,false,NULL
2013-06-10,0,33.6,70.75,false,NULL
2013-06-11,0,34.2,70,false,NULL
2013-06-12,0,35,70,false,NULL
2013-06-13,0,32.8,76.25,false,NULL
2013-06-14,0,34.2,72.75,false,NULL
2013-06-15,0,33.9,76.25,false,NULL
2013-06-16,0,33.9,76.75,false,NULL
2013-06-17,0,33.5,88.5,false,NULL
2013-06-18,0,33.2,78.75,false,NULL
2013-06-19,7.4,33.7,75.75,false,NULL
2013-06-20,0,33.7,75.75,false,NULL
2013-06-21,0,34.6,79,false,NULL
2013-06-22,0,34.2,76.25,false,NULL
2013-06-23,0,34,74,false,NULL
2013-06-24,0.1,33.2,77,false,NULL
2013-06-25,0,35.1,71,false,NULL
2013-06-26,0,35.3,77,false,NULL
2013-06-27,0,34.1,73.75,false,NULL
2013-06-28,0,32.4,72.5,false,NULL
2013-06-29,0,33.5,80.25,false,NULL
2013-06-30,0,34.9,78.75,true,NULL
2013-07-01,0,33,78,false,NULL
2013-07-02,0.5,32.8,73.5,false,NULL
2013-07-03,0,34.5,71.25,false,NULL
2013-07-04,0,34.9,67.5,false,NULL
2013-07-05,0.3,35.1,79,false,NULL
2013-07-06,0,35,84,false,NULL
2013-07-07,0,35.6,72.5,true,NULL
2013-07-08,0,34.2,77.5,false,NULL
2013-07-09,0,34.6,74.25,false,NULL
2013-07-10,0,35.7,67,false,NULL
2013-07-11,0,35.2,67.75,false,NULL
2013-07-12,0,34.8,74.25,false,NULL
2013-07-13,0,33.6,75.25,false,NULL
2013-07-14,0,35.4,80,true,NULL
2013-07-15,0,35.7,76.5,true,NULL
2013-07-16,0,35.6,71.75,false,NULL
2013-07-17,0,35.3,77.75,false,NULL
2013-07-18,0,36.6,70.75,false,NULL
2013-07-19,0,35.2,76.75,false,NULL
2013-07-20,0,34.4,82.25,false,NULL
2013-07-21,0,35,74.5,false,NULL
2013-07-22,0,34,83.25,false,NULL
2013-07-23,0,32.5,88.25,false,NULL
2013-07-24,9.4,33.9,84.75,false,NULL
2013-07-25,3.3,34.5,83.25,false,NULL
2013-07-26,0,35.1,79.75,false,NULL
2013-07-27,0,34.7,81.5,false,NULL
2013-07-28,0.1,34.8,76.75,false,NULL
2013-07-29,0,35.2,74.25,false,NULL
2013-07-30,0,35.9,72.5,false,NULL
2013-07-31,0,35.7,74.5,false,NULL
2013-08-01,0,36,70.25,false,NULL
2013-08-02,0,36.3,73,false,NULL
2013-08-03,0,37,68.5,false,NULL
2013-08-04,0,36.9,70.75,true,NULL
2013-08-05,0,35.4,74.75,false,NULL
2013-08-06,0,35.4,72,false,NULL
2013-08-07,0,35.7,73.75,false,NULL
2013-08-08,0,35.4,68.25,false,NULL
2013-08-09,0,36.7,67.75,true,NULL
2013-08-10,0,35.7,71.5,true,NULL
2013-08-11,0,35.6,77,false,NULL
2013-08-12,0,35.4,73,false,NULL
2013-08-13,0,36.1,73.25,false,NULL
2013-08-14,0,36.4,75,false,NULL
2013-08-15,0,35.9,76.5,false,NULL
2013-08-16,0,36,68.75,false,NULL
2013-08-17,7.6,36.7,68.75,true,NULL
2013-08-18,0,35.9,65.5,true,NULL
2013-08-19,0,36.3,68,false,NULL
2013-08-20,0,36.4,73.25,false,NULL
2013-08-21,0,36.7,67.75,true,NULL
2013-08-22,0,37.5,60.5,true,NULL
2013-08-23,0,38,61.75,false,NULL
2013-08-24,0,37.8,62.75,true,NULL
2013-08-25,0,37.2,64.5,true,NULL
2013-08-26,0,37.3,67.75,false,NULL
2013-08-27,0,36.2,70,false,NULL
2013-08-28,0,37.1,67.5,false,NULL
2013-08-29,0,36.9,63.75,true,NULL
2013-08-30,0,38.3,64.75,false,NULL
2013-08-31,0,37.1,62,true,NULL
2013-09-01,0,37.8,69.25,true,NULL
2013-09-02,0,37,65.5,false,NULL
2013-09-03,0,37.2,62,false,NULL
2013-09-04,0,37.4,70.5,false,NULL
2013-09-05,0,34.6,76.25,true,NULL
2013-09-06,2,35.7,76.5,false,NULL
2013-09-07,2,34.3,80.75,false,NULL
2013-09-08,38.2,35.8,70.5,false,NULL
2013-09-09,0,37.2,66.25,false,NULL
2013-09-10,0,35.4,68.75,false,NULL
2013-09-11,0,35.9,67.25,true,NULL
2013-09-12,0,36.9,66.25,false,NULL
2013-09-13,0,37.5,67.75,true,NULL
2013-09-14,0,37.6,63.5,true,NULL
2013-09-15,0,37.5,66.25,true,NULL
2013-09-16,0,37.2,62.25,true,NULL
2013-09-17,0,37.9,61.25,true,NULL
2013-09-18,0,37.4,62,false,NULL
2013-09-19,0,36.6,66.5,true,NULL
2013-09-20,0,37.6,64.25,false,NULL
2013-09-21,0,37.8,63.25,true,NULL
2013-09-22,0,37.8,66.25,false,NULL
2013-09-23,0,38.2,63.5,false,NULL
2013-09-24,0,35.2,67.75,true,NULL
2013-09-25,0,36.8,70.75,true,NULL
2013-09-26,0,37.4,64.75,true,NULL
2013-09-27,0,37.4,66.75,false,NULL
2013-09-28,0,38.2,62.25,true,NULL
2013-09-29,0,38.3,63,true,NULL
2013-09-30,0,36.9,64.5,true,NULL
2013-10-01,0,38.1,64.25,true,NULL
2013-10-02,0,38.1,59.5,true,NULL
2013-10-03,0,38.7,62.75,false,NULL
2013-10-04,0,38,67.75,true,NULL
2013-10-05,0,36.8,68.25,true,NULL
2013-10-06,0,34.5,88.25,false,NULL
2013-10-07,0,35.3,72.75,true,NULL
2013-10-08,0,35.2,69,false,NULL
2013-10-09,0,36.5,71.5,false,NULL
2013-10-10,0,37.2,67.5,true,NULL
2013-10-11,0,38,64,true,NULL
2013-10-12,0,37.4,62,true,NULL
2013-10-13,0,37.9,62.25,true,NULL
2013-10-14,0,38.7,62,true,NULL
2013-10-15,0,38.3,61.5,false,NULL
2013-10-16,0,34.5,75.5,true,NULL
2013-10-17,25.2,32.5,81.5,false,NULL
2013-10-18,2.2,34.5,69.5,false,NULL
2013-10-19,0,33.9,70.75,false,NULL
2013-10-20,0,35.1,75.25,false,NULL
